"Id","Nome","Descrizione","Supplemento","Colore","In vetrina","Ordine"
"panna","Panna montata","Soffice, classica","0","Panna","true","10"
"meringa","Meringa fiammeggiata","Effetto scenografico","4","#fffaf0","true","20"
"ganache-cop","Ganache fondente","Lucida e intensa","3","Cioccolato fondente","true","30"
"glassa-specchio","Glassa a specchio","Effetto wow","5","Viola Punto G","true","40"
"frutta-cop","Copertura di frutta","Fresca, di stagione","4","Fragola","true","50"
"naked","Naked cake","Bordi a vista, rustica","0","","true","60"
"cioccolato-cop","Copertura cioccolato","Fondente o latte","3","Cioccolato scuro","true","70"
