"Id","Nome","Descrizione","Supplemento","Colore","In vetrina","Ordine"
"nessuna","Nessuna","Strati puri","0","","true","10"
"cremino","Variegato cremino","Nocciola e cioccolato","2","Gianduia","true","20"
"caramello","Salsa caramello salato","Dolce e sapida","2","Caramello","true","30"
"frutti-rossi","Cuore frutti rossi","Lampone e ribes","2","#c93060","true","40"
"amarena","Amarena","Classica, intensa","2","#8c1e3a","true","50"
"ganache","Ganache fondente","Cioccolato puro","2","Cioccolato fondente","true","60"
"biscotto","Biscotto sbriciolato","Croccantezza extra","2","#b88c5a","true","70"
"granella","Granella di nocciole","Tostate del Piemonte","2","Nocciola","true","80"
"pistacchio","Crema pistacchio","Bronte, vellutata","3","Pistacchio","true","90"
